date;customer_ID;factura
2012-1;5445322;49.0
2012-1;5445323;54.72
2012-1;5445324;51.12
2012-1;5445325;49.77
2012-1;5445326;50.35
2012-1;5445327;52.44
2012-1;5445328;51.01
2012-1;5445329;49.0
2012-1;5445330;50.8
2012-1;5445331;49.0
2012-1;5445332;49.0
2012-1;5445333;49.0
2012-1;5445334;49.0
2012-1;5445335;51.44
2012-1;5445336;49.0
2012-1;5445337;52.53
2012-1;5445338;49.0
2012-1;5445339;50.14
2012-1;5445340;49.0
2012-1;5445341;50.74
2012-1;5445342;49.26
2012-1;5445343;49.0
2012-1;5445344;53.13
2012-1;5445345;49.0
2012-1;5445347;50.01
2012-1;5445348;53.35
2012-1;5445349;49.0
2012-1;5445350;51.44
2012-1;5445351;50.24
2012-1;5445352;49.74
2012-1;5445353;49.0
2012-1;5445354;51.24
2012-1;5445355;49.0
2012-1;5445356;49.0
2012-1;5445357;49.0
2012-1;5445358;49.0
2012-1;5445359;49.0
2012-1;5445360;49.96
2012-1;5445361;49.1
2012-1;5445362;50.71
2012-1;5445363;49.0
2012-1;5445364;49.49
2012-1;5445365;49.0
2012-1;5445366;49.0
2012-1;5445367;51.78
2012-1;5445368;53.5
2012-1;5445369;49.0
2012-1;5445370;52.67
2012-1;5445371;50.44
2012-1;5445372;49.0
2012-1;5445373;49.06
2012-1;5445374;49.0
2012-1;5445375;49.0
2012-1;5445376;49.0
2012-1;5445378;49.08
2012-1;5445379;49.0
2012-1;5445380;49.59
2012-1;5445381;49.0
2012-1;5445382;51.13
2012-1;5445383;49.0
2012-1;5445384;52.33
2012-1;5445385;49.0
2012-1;5445386;49.0
2012-1;5445387;49.37
2012-1;5445388;49.13
2012-1;5445389;49.16
2012-1;5445390;49.0
2012-1;5445391;49.0
2012-1;5445393;49.0
2012-1;5445394;49.99
2012-1;5445395;49.47
2012-1;5445396;49.0
2012-1;5445397;50.94
2012-1;5445398;49.0
2012-1;5445400;50.31
2012-1;5445401;49.0
2012-1;5445402;49.0
2012-1;5445403;50.22
2012-1;5445404;49.0
2012-1;5445405;49.0
2012-1;5445406;49.0
2012-1;5445407;49.0
2012-1;5445408;49.0
2012-1;5445409;49.61
2012-1;5445410;49.0
2012-1;5445411;49.0
2012-1;5445412;49.0
2012-1;5445413;50.85
2012-1;5445415;49.0
2012-1;5445416;49.0
2012-1;5445417;49.0
2012-1;5445418;52.36
2012-1;5445419;49.67
2012-1;5445420;49.0
2012-1;5445421;49.0
2012-1;5445422;51.35
2012-1;5445423;49.0
2012-1;5445424;50.61
2012-1;5445425;51.46
2012-1;5445426;49.0
2012-1;5445427;49.0
2012-1;5445428;49.0
2012-1;5445429;52.18
2012-1;5445430;50.59
2012-1;5445431;49.98
2012-1;5445432;49.0
2012-1;5445434;49.0
2012-1;5445435;50.0
2012-1;5445436;51.54
2012-1;5445437;49.08
2012-1;5445438;49.56
2012-1;5445440;51.1
2012-1;5445441;49.0
2012-1;5445442;50.84
2012-1;5445443;49.0
2012-1;5445444;49.0
2012-1;5445446;52.47
2012-1;5445447;49.0
2012-1;5445448;49.0
2012-1;5445449;49.89
2012-1;5445450;51.51
2012-1;5445451;49.83
2012-1;5445452;52.51
2012-1;5445453;49.86
2012-1;5445454;49.0
2012-1;5445455;49.45
2012-1;5445456;49.54
2012-1;5445457;49.94
2012-1;5445458;52.42
2012-1;5445459;49.0
2012-1;5445460;49.0
2012-1;5445461;51.79
2012-1;5445462;51.06
2012-1;5445463;50.89
2012-1;5445464;49.0
2012-1;5445465;53.42
2012-1;5445466;49.0
2012-1;5445467;51.03
2012-1;5445468;51.31
2012-1;5445469;49.63
2012-1;5445470;49.0
2012-1;5445471;50.36
2012-1;5445472;49.0
2012-1;5445473;51.95
2012-1;5445474;49.93
2012-1;5445475;50.58
2012-1;5445476;49.0
2012-1;5445477;52.86
2012-1;5445478;49.02
2012-1;5445479;49.0
2012-1;5445480;49.0
2012-1;5445481;49.0
2012-1;5445482;49.0
2012-1;5445483;49.0
2012-1;5445484;49.46
2012-1;5445485;49.3
2012-1;5445486;49.49
2012-1;5445487;49.0
2012-1;5445488;49.0
2012-1;5445489;49.85
2012-1;5445490;49.15
2012-1;5445491;49.0
2012-1;5445492;49.0
2012-1;5445493;51.03
2012-1;5445494;49.0
2012-1;5445495;49.0
2012-1;5445496;49.0
2012-1;5445497;49.0
2012-1;5445498;50.26
2012-1;5445499;49.0
2012-1;5445500;51.96
2012-1;5445501;49.0
2012-1;5445502;50.65
2012-1;5445503;49.0
2012-1;5445504;52.57
2012-1;5445505;49.0
2012-1;5445506;49.0
2012-1;5445507;49.45
2012-1;5445508;51.76
2012-1;5445509;50.15
2012-1;5445510;49.0
2012-1;5445511;50.39
2012-1;5445512;49.0
2012-1;5445513;50.62
2012-1;5445514;49.0
2012-1;5445515;49.0
2012-1;5445516;49.79
2012-1;5445517;49.35
2012-1;5445518;52.78
2012-1;5445519;50.04
